,label,tweet,clean_teks
0,0,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]",jalan jatibarupolisi gertak gubernur emangny polisi pmbhasan politik atur wilayahhak gubernur tn abang turun temurunpelikperlu sabar url
1,0,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.",cewek lho kayak rasain sibuk jaga rasain sakit haid panik pulang malam orang asing wajar korban takut curhat bela hujat
2,2,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.",kepingin gudeg mbarek bu hj amad foto google sengaja biar temanteman bayang bagi indah
3,0,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]",jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg wwnang gubtng abng rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat pihakmohon otakberpikirlah wajarkecuali otak butekya url
4,2,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]",sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antri ramai menit beress coba twips jamjam segitu cc
5,0,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.",sekian thread baca thread aneh sih tulis sumpah aneh lebay bikin thread aduh jago nulis tulis beranta thread mbak
6,2,Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,sharing teman tuh saat berat teman berat apa banding
7,4,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.",orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang tuh pernik ngalamin madu orang tidur nya pakai ponco madu
8,0,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.",contoh gemar sudut teriak toleran gemar tuduh gemar menjudge dasar versi
9,4,Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.,pulang h lebaran dilema rumah lebaran buka puasa bareng keluarga sahur
10,0,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",min rakyat indonesia harap nya tinggal tni lihat serang kantor media unsur pidana hina presiden indonesia sah lucu lucu an tni url
11,0,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,fansite ngejual hasil jepret uang nya lari idol beliin hadiah kpopers ya fansite jaman kamera bening
12,2,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",syukur doa kakek karno anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur h
13,4,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,sulit terima nyata anggap interaksi orang golong langsung golong ajar utuh klaim
14,0,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye maling si jancok si anjing si siluman monyet hahahahaha hati maling
15,0,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",ku ngamuk bacain komen netizen mahabenar ya lord habis pikir komen macem bikin leceh seksual tenggelam hukum laku sedih rerata komen jahat perempuan mbak sehat loh url
16,3,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat",sempat hadir tuk buat aman nyaman hormat
17,0,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,sedap kali ya tidur kasur ku tidur tidur baca pakai logat mamak dahlia keluarga badak
18,2,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ",h bank ramai antri duduk luar toko emas luber mbak jual swalayan antri kasir naudzubilah bahagia kayak moga oh moga rs sepi pasien sembuh pulang bahagia
19,0,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",hancur negara kelola amatir kenpak indah statementnya negara miskin koordinasi gagah seta salah anulir marwahmu mr presiden url
20,0,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",budaya cari baca ya kali diaturgaada tentu khusus pakai
21,4,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.",paruh hati iri anak duduk jalan ibunda paruh hati empat anak gundah ibunda sakit sabar ya kawan moga allah baik
22,2,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,senyum hidup sempurna syukur tuhan ku
23,4,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",tidur tidur bangun tidur yaa aneh enak hati bawa istighfar bangun tidur sedih berfikir puguh coba
24,3,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,peluk engkau erat rebut mu peluk ku senang anniversary sayang november months
25,0,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,ganti presiden calon adu program kerja koalisi ditentuin bisa kaos tagar
26,2,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",sukses n keren nomor kualitasbhn krjaitu cita pu waris cusukses tims bbpjn barokah limpah
27,0,"Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.",sarjana kali mbokya mulut nya tinggal ajar tambah dosa sakit hati orang mending diam kasihan nya julidin orang
28,0,Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.,orang nilai jilbabsyaringgak nya kadang gemez orang kelas diam eh grup bisa nyeletuk arah social harassment
29,1,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,jadwal presentasi proker lppm praktikum ketua teman sekretaris tanggung sekretaris deg deg an bismillah ketua bicara bicara pen upload foto ketua yaa
30,0,Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ,foto instagram lupa password instanya buka salah perintah instagram pakai password tuh lupa begoloe
31,1,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,drama kemarin sore hari puasa pas mandi kaget bcz datang tamu undang pas woi pas adzan maghrib galau hari anggap sah puasa enggak
32,4,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],sungguh cinta berat pisah dengan hadiahperasaan bikin baper sukses lupa lapar url
33,0,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)",pas kirim si kurir telepon keluh malas gerak antar alamat ketemu titik itu susah nomor putar arah arah kendara jalan
34,2,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",lewat bayang betapa sulit lalu ajar ajar ajar petik hikmah petik depan
35,3,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ",pasang seringkali rumah nyaman sama nyaman rumah pulang tuju
36,1,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata",ya sakit hati memamg sulit nya jenjang rumah tangga publik situasi inimedia jahat selesai lontar
37,2,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,ponakan kelas sd suka nonton video tutorial masak craft youtube kelas sd baca novel marga t amp mira pinjam sepupu
38,2,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,bberapa sejahtera keluarga makmak teus tingkat sampai suami pangkat paham pangkat tni pokok hidup bekecukupan
39,4,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",dukung doa sikap pilih upaya mempertahankannyadisini bahagia lihat sedih kebahagianku pudarseperti terima undang nikah
40,2,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,jnejnt pakai kirim paketbeli olshop jastip kota beda pulau maksimal pakai mobil susah cari alamat bingung masuk kompleksgang malam bain jalan rumah paket kirim
41,0,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!",gemes orang anggap wajar leceh sexual verbal verbal fisik apa benar
42,1,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,hukum main musik stad haroooom hukum dosa main kirakira cakap pena ustad buah acara televisi intro pakai musik
43,0,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow,hebat mardani oeang mulut fakta capres lagipula koalisi pks gerindra yaow
44,4,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",oh iya nya lahir anak cewek nya tahun kasih nikmat uji si makmak kali berat tinggal suami tinggal singel orangtua
45,2,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,z suka twitter soalny perempuan ji teman biar omel tablengker ndada bahaya bahas monsteration bebas bahas puasa bebas update status stres monsteration pi blok cowok mengupdate
